state,District,City
,,Srinagar
,,Tehri
,,Uttarkashi
,,
,,Bataw
,,Dainadubi
,,Jowai
,,Nongpoh
,,Nongstoin
,,Shillong
,,Tura
,,
,,Almora
,,Ambiwala
,,Anandpur
,,Araghar
,,Aurangabad
,,Bageshwar
,,Barasi
,,Barwa
,,Bazpur
,,Belra
,,Betalghat
,,Bhagwanpur
,,Bharatpur
,,Bhogpur
,,Birbhaddar
,,Chamoli
,,Champawat
,,Chaubattia
,,Dehra Dun
,,Dehradun
,,Deoria
,,DIneshpur
,,Doiwala
,,Gadarpur
,,Gauchar
,,Ghansali
,,Gopeshwar
,,Gorakhpur
,,Gorakhpur
,,Haldi
,,Haldwani
,,Harbatpur
,,Haridwar
,,Jaipur
,,Jaspur
,,Karnaprayag
,,Kashipur
,,Kaudiar
,,Kharakhet
,,Khatauli
,,Khatima
,,Kichha
,,Kotdwara
,,Laksar
,,Lalkua
,,Landhaura
,,Lohaghat
,,Mussoorie
,,Nainital
,,Pachhmiwala
,,Pantnagar
,,Parola
,,Pauri
,,Pithoragarh
,,Pokhari
,,Puranpur
,,Ramnagar
,,Ramnagar
,,Ranikhet
,,Rishikesh
,,Roorkee
,,Rudarpur
,,Rudarpur
,,Rudraprayag
,,Saidabad
,,Satpuli
,,Sidhpur
,,Sitarganj
Jammu And Kashmir,,
Jammu And Kashmir,,Anantnag
Jammu And Kashmir,,Anchar
Jammu And Kashmir,,Bafliaz
Jammu And Kashmir,,Banihal
Jammu And Kashmir,,Bari
Jammu And Kashmir,,Bathuni
Jammu And Kashmir,,Bhadarwah
Jammu And Kashmir,,Bijbehara
Jammu And Kashmir,,Buniyar
Jammu And Kashmir,,Darhal
Jammu And Kashmir,,Doda
Jammu And Kashmir,,Jagti
Jammu And Kashmir,,Jagti
Jammu And Kashmir,,Jakh
Jammu And Kashmir,,Jammu
Jammu And Kashmir,,Kanpur
Jammu And Kashmir,,Kargil
Jammu And Kashmir,,Kathua
Jammu And Kashmir,,Katra
Jammu And Kashmir,,Kishtwar
Jammu And Kashmir,,Kota
Jammu And Kashmir,,Kulgam
Jammu And Kashmir,,KupwÃ„Âra
Jammu And Kashmir,,Leh
Jammu And Kashmir,,Nagrota
Jammu And Kashmir,,Nagrota
Jammu And Kashmir,,Pulwama
Jammu And Kashmir,,Punch
Jammu And Kashmir,,Rajaori
Jammu And Kashmir,,Ramban
